Model,Price,Rating,Generation,Core,Ram_GB,SSD_GB,Display_Inches,Graphics,OS,Warranty
Dell Inspiron 3530 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),69990.0,53.0,13th gen intel core i7 1355u,"10 cores (2p + 8e), 12 threads",16,512.0,15.6,intel uhd graphics,windows 11 os,1 year warranty
Asus Vivobook 15 X1502ZA-EJ385WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),39990.0,53.0,12th gen intel core i3 1220p,"10 cores (2p + 8e), 12 threads",8,512.0,15.6,intel uhd graphics,windows 11 os,1 year warranty
HP Pavilion 15-eg3032TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),84700.0,64.0,13th gen intel core i7 1360p,"12 cores (4p + 8e), 16 threads",16,512.0,15.6,intel iris xe graphics,windows 11 os,1 year warranty
Dell G15-5530 15 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),99990.0,70.0,13th gen intel core i7 13650hx,14 cores (6p + 8e),16,1.0,15.6,6 gb nvidia geforce rtx 4050,windows 11 os,1 year warranty
HP 15s-fq5185TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),36349.0,55.0,12th gen intel core i3 1215u,"hexa core (2p + 4e), 8 threads",8,512.0,15.6,intel integrated uhd,windows 11 os,1 year warranty
Zebronics Pro Series Y ZEB-NBC 2S Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),27990.0,57.0,11th gen intel core i5 1155g7,"quad core, 8 threads",16,512.0,15.6,intel integrated uhd,windows 11 os,1 year warranty
Zebronics ZEB-NBC 5S 2023 Laptop (12th Gen Core i7 / 16GB/ 1TB SSD/ Win11 Home),43990.0,66.0,12th gen intel core i7 1255u,"10 cores (2p + 8e), 12 threads",16,1.0,15.6,intel integrated,windows 11 os,1 year warranty
Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11),44990.0,65.0,7th gen amd ryzen 7 7730u,"octa core, 16 threads",8,512.0,15.6,amd radeon amd,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 3 82RK00VWIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),34990.0,54.0,12th gen intel core i3 1215u,"hexa core (2p + 4e), 8 threads",8,512.0,15.6,‎intel uhd graphics,windows 11 os,1 year warranty
HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),79990.0,72.0,7th gen amd ryzen 7 7840hs,"octa core, 16 threads",16,512.0,16.1,6 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),53990.0,66.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,15.6,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
Asus TUF Gaming F15 FX506HE-HN382W Gaming Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),69990.0,66.0,11th gen intel core i7 11800h,"octa core, 16 threads",16,512.0,15.6,4 gb nvidia geforce rtx 3050 ti,windows 11 os,1 year warranty
Asus TUF Gaming F15  FX506HF-HN075W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),48990.0,62.0,11th gen intel core i5 11260h,"hexa core, 12 threads",8,512.0,15.6,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
MSI Thin GF63 11UC-1490IN Gaming Laptop (11th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),52990.0,69.0,11th gen intel core i5 11260h,"hexa core, 12 threads",16,1.0,4.0,256 gb ssd,"15.6 inches, 1920 x 1080 pixels",windows 11 os
Lenovo LOQ 15APH8 82XT004HIN 2023 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),79990.0,70.0,7th gen amd ryzen 7 7840hs,"octa core, 16 threads",16,512.0,15.6,6 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
Asus Vivobook Go 15 E510MA-EJ001W Laptop (Celeron N4020/ 4GB/ 256GB SSD/ Win11 Home),19990.0,,intel celeron  n4020,"dual core, 2 threads",4,256.0,15.6,integrated intel uhd graphics,windows 11 os,1 year warranty
HP Omen 16-wd0880TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),89990.0,64.0,13th gen intel core i5 13420h,"octa core (4p + 4e), 12 threads",16,512.0,16.1,6 gb nvidia geforce rtx 4050,windows 11 os,1 year warranty
Infinix INBook Y1 Plus Neo 2023 XL30 Laptop (Intel Celeron N5100/ 4GB/ 128GB SSD/ Win 11 Home),18990.0,,11th gen intel celeron n5100,"quad core, 4 threads",4,128.0,15.6,intel integrated uhd,windows 11 os,1 year warranty
Asus Vivobook 15 X1502ZA-EJ741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),59990.0,63.0,12th gen intel core i7 12650h,"10 cores (6p + 4e), 16 threads",16,512.0,15.6,intel iris xe,windows 11 os,1 year warranty
Lenovo Ideapad Gaming 3 82SB00NXIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),53490.0,65.0,7th gen amd ryzen 5 7535hs,"hexa core, 12 threads",16,512.0,15.6,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
Dell Inspiron 3525 Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11),36890.0,59.0,5th gen amd ryzen 5 5500u,"hexa core, 12 threads",8,512.0,15.6,amd radeon radeon graphics,windows 11 os,1 year warranty
Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),74990.0,68.0,13th gen intel core i9 13900h,"14 cores (6p + 8e), 20 threads",32,1.0,15.6,intel integrated iris xe,windows 11 os,1 year warranty
Acer Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),57990.0,64.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,15.6,4 gb nvidia geforce gtx 3050,windows 11 os,1 year warranty
Asus TUF Gaming A15 FA577NU-LP082W Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),89990.0,73.0,7th gen amd ryzen 7 7735hs,"octa core, 16 threads",16,512.0,15.6,6 gb nvidia geforce rtx 4050,windows 11 os,1 year warranty
Asus TUF Gaming F15 FX506HF-HN025W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),52990.0,66.0,11th gen intel core i5 11400h,"hexa core, 12 threads",16,512.0,15.6,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
Acer Predator Helios Neo 16 PHN16-71 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),112500.0,70.0,13th gen intel core i7 13700hx,"16 cores (8p + 8e), 24 threads",16,1.0,16.0,6 gb nvidia geforce rtx 4050,windows 11 os,1 year warranty
HP Victus 15-fa0998TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),68990.0,68.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,15.6,4 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
HP 255 G8 689T4PA Laptop (Ryzen 3 3250U/ 8GB/512GB SSD/ Win11 Home),25580.0,55.0,3rd gen amd ryzen 3 3250u,"dual core, 4 threads",8,512.0,15.6,amd radeon amd,windows 11 os,1 year warranty
